λ,Curve-1_E
478.799,172.09
478.885,177.768
478.97,165.472
479.055,177.759
479.141,183.789
479.226,213.769
479.311,176.989
479.397,157.945
479.482,173.606
479.567,192.276
479.653,203.969
479.738,186.679
479.823,174.154
479.909,183.969
479.994,173.483
480.079,224.842
480.165,200.868
480.25,217.356
480.335,203.209
480.421,197.882
480.506,199.052
480.591,231.685
480.677,196.932
480.762,216.239
480.847,194.819
480.932,226.046
481.018,212.407
481.103,222.162
481.188,216.35
481.274,236.132
481.359,227.33
481.444,232.722
481.53,232.548
481.615,229.502
481.7,223.264
481.785,249.459
481.871,259.241
481.956,244.246
482.041,245.795
482.127,275.304
482.212,272.33
482.297,229.686
482.382,280.152
482.468,261.778
482.553,280.736
482.638,269.062
482.723,280.278
482.809,283.668
482.894,282.222
482.979,284.03
483.064,322.026
483.15,300.606
483.235,285.2
483.32,303.012
483.406,285.863
483.491,326.353
483.576,299.348
483.661,311.716
483.747,307.726
483.832,337.814
483.917,321.297
484.002,328.156
484.087,342.841
484.173,343.373
484.258,349.35
484.343,353.326
484.428,340.022
484.514,399.666
484.599,373.441
484.684,377.62
484.769,389.901
484.855,400.986
484.94,400.863
485.025,401.114
485.11,398.552
485.195,395.407
485.281,422.246
485.366,404.735
485.451,414.865
485.536,428.208
485.622,429.203
485.707,425.559
485.792,439.838
485.877,448.982
485.962,462.884
486.048,468.031
486.133,454.599
486.218,482.563
486.303,474.068
486.388,493.679
486.474,499.657
486.559,469.058
486.644,503.001
486.729,506.075
486.814,502.104
486.9,514.371
486.985,522.793
487.07,510.141
487.155,524.602
487.24,521.835
487.325,534.393
487.411,547.123
487.496,535.702
487.581,556.705
487.666,585.205
487.751,566.342
487.836,540.255
487.922,586.478
488.007,588.352
488.092,571.586
488.177,566.436
488.262,586.479
488.347,562.272
488.433,597.44
488.518,589.842
488.603,599.048
488.688,592.623
488.773,625.832
488.858,608.361
488.944,617.036
489.029,633.935
489.114,610.995
489.199,640.634
489.284,658.068
489.369,635.927
489.454,658.344
489.54,659.895
489.625,675.69
489.71,650.751
489.795,660.76
489.88,690.726
489.965,691.816
490.05,710.567
490.135,743.138
490.221,730.474
490.306,732.363
490.391,743.688
490.476,776.831
490.561,784.038
490.646,794.982
490.731,768.667
490.816,771.156
490.901,780.316
490.987,780.212
491.072,807.33
491.157,836.02
491.242,778.064
491.327,818.747
491.412,849.187
491.497,891.03
491.582,853.227
491.667,905.437
491.752,886.773
491.838,895.153
491.923,902.02
492.008,891.676
492.093,943.085
492.178,934.149
492.263,937.491
492.348,975.196
492.433,971.168
492.518,979.342
492.603,990.079
492.688,972.979
492.773,1034.57
492.859,1033.96
492.944,1094.82
493.029,1064.54
493.114,1090.86
493.199,1100.89
493.284,1129.5
493.369,1104.13
493.454,1143.65
493.539,1100.27
493.624,1169.23
493.709,1150.8
493.794,1151.08
493.879,1160.63
493.964,1150.2
494.049,1254.94
494.134,1222.59
494.219,1204.04
494.304,1231.31
494.39,1257.82
494.475,1270.88
494.56,1316.58
494.645,1319.95
494.73,1336.77
494.815,1349.46
494.9,1378.07
494.985,1411.29
495.07,1399.5
495.155,1420.5
495.24,1439.44
495.325,1496.86
495.41,1512.84
495.495,1483.9
495.58,1563.42
495.665,1561.07
495.75,1563.87
495.835,1595.65
495.92,1610.28
496.005,1625.35
496.09,1676.16
496.175,1721.61
496.26,1707.02
496.345,1761.61
496.43,1746.21
496.515,1815.38
496.6,1818.8
496.685,1879.47
496.77,1838.34
496.855,1940.57
496.94,1991.77
497.025,1984.4
497.11,2012.39
497.195,2064.0
497.28,2134.17
497.365,2197.85
497.45,2198.46
497.535,2236.75
497.62,2300.18
497.705,2327.85
497.79,2364.66
497.875,2408.22
497.96,2455.53
498.045,2515.01
498.13,2592.67
498.215,2598.92
498.3,2695.41
498.385,2681.95
498.47,2761.21
498.555,2846.59
498.639,2864.48
498.724,2908.1
498.809,2918.47
498.894,3081.08
498.979,3058.45
499.064,3094.05
499.149,3231.69
499.234,3267.78
499.319,3295.93
499.404,3338.85
