λ,alta_E,bassa-esp_E,Raw_E
433.162,158.35,33.7561,22.9085
433.248,179.907,59.6954,31.9042
433.334,183.22,32.1142,19.3796
433.421,241.581,38.6205,43.061
433.507,218.498,45.9672,28.9894
433.593,205.569,46.5986,29.4401
433.679,197.275,41.6552,29.3387
433.765,217.352,55.8751,32.2118
433.852,199.449,50.3357,6.93655
433.938,191.122,39.2484,28.1001
434.024,192.776,51.9448,37.6732
434.11,197.693,29.7744,39.8598
434.196,218.428,22.5395,14.7192
434.283,222.274,49.8837,28.3962
434.369,189.857,31.677,21.1014
434.455,207.06,46.8505,20.5543
434.541,186.815,40.0622,20.5167
434.627,186.389,48.2014,25.5516
434.714,224.69,41.2817,24.8044
434.8,223.387,9.15289,30.6012
434.886,224.738,50.2191,28.9487
434.972,217.575,51.0857,34.6194
435.058,209.821,60.6038,11.8474
435.145,235.776,50.2943,39.1672
435.231,211.737,58.0581,17.5855
435.317,244.826,43.9452,40.5713
435.403,208.859,42.0812,31.6379
435.489,250.989,42.6989,42.3655
435.576,207.222,31.4419,16.8943
435.662,203.298,46.2623,38.0922
435.748,223.48,29.9745,14.3108
435.834,226.492,34.4527,27.1527
435.92,226.022,17.8165,29.9598
436.006,225.288,30.1572,35.2332
436.093,234.372,33.1668,16.7368
436.179,255.759,58.6099,19.8291
436.265,304.328,67.4581,42.4566
436.351,367.831,70.7871,45.3386
436.437,412.599,85.9486,52.4236
436.523,558.558,100.567,18.978
436.61,690.008,155.812,9.79846
436.696,877.507,192.343,37.553
436.782,1049.49,232.903,32.0392
436.868,1269.14,270.804,46.0697
436.954,1427.23,302.949,21.7581
437.04,1499.64,320.372,32.7214
437.126,1431.14,314.042,55.1537
437.213,1094.1,225.904,16.8493
437.299,857.793,182.411,24.1194
437.385,555.195,126.006,33.3636
437.471,391.253,99.0686,30.2586
437.557,339.578,86.5796,24.7317
437.643,354.898,82.0528,58.8926
437.729,317.113,64.0951,41.5882
437.816,344.008,70.1279,47.1843
437.902,324.436,76.9873,33.8927
437.988,317.27,71.4436,20.9923
438.074,313.484,57.8397,33.3173
438.16,313.974,50.9372,31.6225
438.246,308.784,77.4498,26.1592
438.332,341.985,82.9022,44.0685
438.419,352.832,88.2594,42.6279
438.505,398.173,105.918,21.6133
438.591,494.595,92.3122,57.6877
