λ,alta_E
477.775,266.575
477.86,234.548
477.946,302.094
478.031,258.171
478.117,262.169
478.202,233.182
478.287,266.966
478.373,244.207
478.458,240.562
478.543,267.301
478.629,245.069
478.714,251.77
478.799,299.911
478.885,282.309
478.97,275.223
479.055,313.523
479.141,317.256
479.226,302.887
479.311,282.905
479.397,310.05
479.482,294.191
479.567,286.076
479.653,275.543
479.738,313.682
479.823,312.459
479.909,329.31
479.994,317.144
480.079,335.327
480.165,346.903
480.25,318.611
480.335,328.205
480.421,306.635
480.506,322.749
480.591,324.395
480.677,394.404
480.762,382.752
480.847,388.671
480.932,400.361
481.018,428.301
481.103,452.932
481.188,434.577
481.274,461.459
481.359,451.619
481.444,476.29
481.53,482.274
481.615,434.901
481.7,383.944
481.785,340.411
481.871,354.457
481.956,305.51
482.041,284.78
482.127,240.135
482.212,272.278
482.297,242.133
482.382,302.728
482.468,269.162
482.553,306.417
482.638,273.416
482.723,323.134
482.809,283.108
482.894,303.586
482.979,298.365
483.064,300.049
483.15,312.015
483.235,262.286
483.32,289.324
483.406,270.814
483.491,273.829
483.576,272.181
483.661,273.814
483.747,295.219
483.832,297.447
483.917,286.394
484.002,259.404
484.087,259.546
484.173,269.474
484.258,276.888
484.343,263.747
484.428,245.044
484.514,262.234
484.599,283.259
484.684,283.312
484.769,292.124
484.855,291.219
484.94,249.12
485.025,274.981
485.11,318.822
485.195,234.111
485.281,270.117
485.366,275.907
485.451,236.33
485.536,308.559
485.622,289.777
485.707,283.884
485.792,296.778
485.877,299.413
485.962,268.503
486.048,256.58
486.133,279.123
486.218,266.892
486.303,355.571
486.388,290.93
486.474,297.026
486.559,328.906
486.644,313.545
486.729,306.191
486.814,334.566
486.9,316.656
486.985,354.869
487.07,336.523
487.155,344.952
487.24,352.439
487.325,341.836
487.411,396.628
487.496,352.352
487.581,376.412
487.666,372.678
487.751,403.945
487.836,366.989
487.922,388.3
488.007,387.335
488.092,381.843
488.177,354.245
488.262,405.718
488.347,398.118
488.433,452.984
488.518,447.503
488.603,415.097
488.688,477.017
488.773,448.822
488.858,516.25
488.944,469.865
489.029,525.474
489.114,518.976
489.199,468.232
489.284,494.581
489.369,474.239
489.454,480.716
489.54,459.357
489.625,466.2
489.71,422.746
489.795,447.581
489.88,454.581
489.965,489.417
490.05,457.037
490.135,485.413
490.221,470.358
490.306,479.348
490.391,484.919
490.476,509.877
490.561,494.356
490.646,526.501
490.731,545.084
490.816,534.69
490.901,554.7
490.987,530.974
491.072,565.325
491.157,539.958
491.242,514.6
491.327,489.43
491.412,513.406
491.497,492.545
491.582,509.743
491.667,485.797
491.752,520.387
491.838,455.039
491.923,494.878
492.008,494.2
492.093,422.132
492.178,392.842
492.263,398.185
492.348,377.101
492.433,323.429
492.518,342.649
492.603,309.165
492.688,326.932
492.773,360.461
492.859,381.743
492.944,368.715
493.029,326.248
493.114,329.537
493.199,274.605
493.284,294.211
493.369,262.722
493.454,286.843
493.539,284.908
493.624,251.803
493.709,267.051
493.794,307.285
493.879,286.701
493.964,281.328
494.049,305.149
494.134,274.629
494.219,248.125
494.304,270.413
494.39,313.034
494.475,280.542
494.56,270.915
494.645,265.718
494.73,259.166
494.815,345.942
494.9,277.365
494.985,335.203
495.07,266.852
495.155,283.613
495.24,251.495
495.325,271.874
495.41,296.009
495.495,269.382
495.58,256.335
495.665,261.772
